company_a,a_id,company_b,b_id,supplier,customer,partner,relationship_strength
Intel,1,Keysight Technologies,54,TRUE,TRUE,TRUE,4
Intel,1,Applied Materials,34,TRUE,FALSE,FALSE,4
Samsung,2,Qualcomm,10,TRUE,TRUE,TRUE,4
Texas Instruments,4,Nvidia,8,FALSE,TRUE,TRUE,5
Texas Instruments,4,Apple,11,FALSE,TRUE,FALSE,5
Texas Instruments,4,Amkor,57,TRUE,FALSE,FALSE,4
Texas Instruments,4,Applied Materials,34,FALSE,FALSE,TRUE,3
Texas Instruments,4,Tokyo Electron,46,FALSE,TRUE,FALSE,3
STMicroelectronics,6,Samsung,2,TRUE,TRUE,FALSE,5
STMicroelectronics,6,Apple,11,FALSE,TRUE,FALSE,4
AMD,7,Micron,66,FALSE,TRUE,TRUE,4
Nvidia,8,Google,13,TRUE,TRUE,TRUE,5
Nvidia,8,Cadence,20,FALSE,TRUE,TRUE,4
MediaTek,9,Samsung,2,FALSE,TRUE,FALSE,3
Qualcomm,10,Samsung,2,TRUE,TRUE,TRUE,5
Qualcomm,10,Amkor,57,TRUE,FALSE,FALSE,4
Qualcomm,10,Google,13,FALSE,TRUE,TRUE,4
Apple,11,Samsung,2,TRUE,TRUE,FALSE,5
Apple,11,Texas Instruments,4,TRUE,FALSE,FALSE,5
Google,13,Nvidia,4,TRUE,TRUE,TRUE,5
TSMC,15,ASML,38,TRUE,FALSE,FALSE,3
TSMC,15,AMD,7,FALSE,TRUE,TRUE,5
TSMC,15,Applied Materials,34,TRUE,FALSE,FALSE,3
TSMC,15,Lam Research,45,TRUE,FALSE,FALSE,3
TSMC,15,Siltronic,29,TRUE,FALSE,FALSE,4
TSMC,15,Daifuku,52,TRUE,FALSE,FALSE,5
TSMC,15,Qualcomm,10,FALSE,TRUE,TRUE,5
TSMC,15,MediaTek,9,FALSE,TRUE,TRUE,5
TSMC,15,Nvidia,8,FALSE,TRUE,TRUE,5
TSMC,15,Apple,11,FALSE,TRUE,FALSE,2
Globalfoundries,16,Samsung,2,FALSE,TRUE,TRUE,5
Globalfoundries,16,Qualcomm,10,FALSE,TRUE,TRUE,5
Globalfoundries,16,Apple,11,FALSE,TRUE,TRUE,5
Globalfoundries,16,TSMC,15,FALSE,FALSE,TRUE,5
Globalfoundries,16,MediaTek,9,FALSE,TRUE,TRUE,4
UMC,17,MediaTek,9,FALSE,TRUE,TRUE,5
UMC,17,Intel,1,FALSE,TRUE,TRUE,5
UMC,17,GlobalWafers,28,TRUE,FALSE,FALSE,5
UMC,17,Shin-Etsu,26,TRUE,FALSE,FALSE,4
UMC,17,Apple,11,FALSE,TRUE,FALSE,3
UMC,17,SUMCO,27,TRUE,FALSE,FALSE,3
SMIC,18,Siemens,21,TRUE,FALSE,TRUE,3
Hua Hong,19,Hoya,41,FALSE,FALSE,TRUE,3
